label,message,clean_message
0,"I think we're going to finn's now, come",think going finn come
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer
0,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,hi baby ive got back work wanting see u allday hope didnt piss u phone today u give call xxx
0,Jus ans me lar. U'll noe later.,jus an lar ull noe later
0,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ok tell stay yeah tough optimistic thing improve month
0,I can take you at like noon,take like noon
0,"K, can I pick up another 8th when you're done?",k pick another th youre done
1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",nd time tried contact u u pound prize claim easy call p per min btnationalrate
0,Ofcourse I also upload some songs,ofcourse also upload song
0,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",faith make thing possiblehope make thing worklove make thing beautifulmay three christmasmerry christmas
0,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",oops mum somerset bit far back tomo see soon x
0,There's no point hangin on to mr not right if he's not makin u happy,there point hangin mr right he makin u happy
0,You are gorgeous! keep those pix cumming :) thank you!,gorgeous keep pix cumming thank
0,Nope. Meanwhile she talk say make i greet you.,nope meanwhile talk say make greet
0,Love that holiday Monday feeling even if I have to go to the dentists in an hour,love holiday monday feeling even go dentist hour
0,Did you show him and wot did he say or could u not c him 4 dust?,show wot say could u c dust
1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs
0,DO U WANT 2 MEET UP 2MORRO,u want meet morro
0,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",arngd marriage u r walkin unfortuntly snake bite u bt love marriage dancing frnt snake amp sayin bite bite
0,Im on gloucesterroad what are uup to later?,im gloucesterroad uup later
0,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt",two fundamental cool life walk like king walk like dont carewhoever king gud nyt
0,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,search happiness main source unhappiness accept life way come u find happiness every moment u live
0,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",hmm ok ill stay like hour co eye really sore
0,they released another Italian one today and it has a cosign option,released another italian one today cosign option
0,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",make cry stuff happens top everything else push edge dont underdtand often cry sorry sorry life
0,"K, wat s tht incident?",k wat tht incident
1,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,registered subscriber yr draw gift voucher b entered receipt correct an next olympics txt an
0,Come to medical college at 7pm ......forward it da,come medical college pm forward da
0,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,huh got lesson lei n thinkin going sch earlier n tot parkin kent vale
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number ending selected receive award match please call quoting claim code standard rate app
1,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,uk break accommodationvouchers term condition apply claim mustprovide claim number
0,Great comedy..cant stop laughing da:),great comedycant stop laughing da
